"gap","abs_cdf","range_cdf"
50.85,0.999849434703378,0.998583097149151
51,0.999856070143503,0.99864421665049
51.15,0.999862429488869,0.998702871330186
51.3,0.999868523465745,0.998759152481596
51.45,0.999874362417762,0.998813148386083
51.6,0.999879956318096,0.998864944396103
51.75,0.99988531478134,0.998914623016719
51.9,0.999890447075045,0.998962263985514
52.05,0.999895362130939,0.999007944350912
52.2,0.999900068555849,0.999051738548936
52.35,0.999904574642314,0.99909371847835
52.5,0.999908888378896,0.999133953574254
52.65,0.999913017460213,0.999172510880087
52.8,0.999916969296674,0.999209455118085
52.95,0.999920751023947,0.999244848758179
53.1,0.999924369512152,0.999278752085348
53.25,0.999927831374782,0.999311223265453
53.4,0.999931142977373,0.999342318409547
53.55,0.999934310445918,0.99937209163669
53.7,0.999937339675025,0.999400595135268
53.85,0.999940236335848,0.99942787922285
54,0.999943005883767,0.999453992404585
54.15,0.999945653565844,0.999478981430167
54.3,0.999948184428055,0.99950289134937
54.45,0.999950603322296,0.999525765566201
54.6,0.999952914913184,0.999547645891658
54.75,0.999955123684637,0.99956857259513
54.9,0.999957233946262,0.999588584454459
55.05,0.999959249839536,0.999607718804682
55.2,0.999961175343796,0.999626011585471
55.35,0.999963014282045,0.9996434973873
55.5,0.999964770326562,0.999660209496351
55.65,0.99996644700435,0.99967617993819
55.8,0.999968047702394,0.999691439520232
55.95,0.999969575672758,0.999706017873013
56.1,0.99997103403752,0.999719943490298
56.25,0.999972425793532,0.999733243768044
56.4,0.999973753817045,0.999745945042238
56.55,0.999975020868163,0.999758072625642
56.7,0.99997622959516,0.999769650843456
56.85,0.999977382538651,0.99978070306793
57,0.999978482135622,0.999791251751942
57.15,0.999979530723329,0.999801318461569
57.3,0.999980530543058,0.999810923907672
57.45,0.999981483743768,0.999820087976512
57.6,0.999982392385597,0.999828829759431
57.75,0.999983258443257,0.999837167581606
57.9,0.999984083809311,0.99984511902991
58.05,0.999984870297333,0.999852700979887
58.2,0.999985619644959,0.999859929621883
58.35,0.999986333516835,0.999866820486335
58.5,0.999987013507458,0.999873388468247
58.65,0.999987661143915,0.999879647850873
58.8,0.999988277888531,0.999885612328633
58.95,0.999988865141415,0.999891295029263
59.1,0.999989424242924,0.99989670853525
59.25,0.999989956476028,0.999901864904537
59.4,0.9999904630686,0.999906775690548
59.55,0.999990945195612,0.999911451961522
59.7,0.999991403981262,0.999915904319211
59.85,0.999991840501014,0.99992014291692
60,0.999992255783569,0.999924177476938
